JanX2/ManOpen
mvdicarlo/postybirb
svanderburg/libiff
gnustep/libs-corebase
vitor251093/wineskin
Sappharad/MultiPatch
ldo/dvdauthor
SDL-mirror/SDL
fruitsamples/MFSLives
fruitsamples/HID_Utilities_Source
mamedev/mame
rustle/RSTLCopyOperation
ianmaddox/MacSaber
jaz303/SDL2.swift
SDL-mirror/SDL_image
SDL-mirror/SDL_ttf
MacPaw/XADMaster
OpenEmu/UME-Core
alisdair/freecell
tessi/LazyNethack
dragouf/CbrPdfConverter
marmelroy/Zip
OpenEmu/OpenEmu-SDK
glebd/bwtoolkit
fruitsamples/Sketch
angstsmurf/spatterlight
prophile/dim3
POV-Ray/povray
svanderburg/lib8svx
fontforge/fontforge
cynthia/WorldWideWeb
Vita3K/Vita3K
uliwitness/stackimport
uliwitness/Stacksmith
uliwitness/UliKit
emaculation/macemu
strk/gnash
shgodoroja/APNGb
Longhanks/qlift
webcomics/dosage
transmission/transmission
cocoadialog/cocoadialog
Aegisub/Aegisub
uliwitness/commando
inferno986return/gemtree-peter-mirror
libass/libass
robbiehanson/CocoaHTTPServer
JanX2/RegexKitLite
dunkelstern/ios-osx-webp-decoder
Orc/discount
dhewm/dhewm3
dirkwhoffmann/vAmiga
joekarl/swift_handmade_hero
fontforge/libspiro
slashlos/Grokking-Recipes
libobjc/SGPlayer
YACReader/yacreader
losnoco/Cog
qbittorrent/qBittorrent
warrenm/GLTFKit
treellama/weland
robaho/seashore
dosbox-staging/dosbox-staging
LIJI32/SameBoy
openssl/openssl
apple-source/OpenAL
mono/mono
pedrommcarrasco/Brooklyn
matvdg/Elementary
hrydgard/ppsspp-ffmpeg
hrydgard/ppsspp
ZDoom/gzdoom
stenzek/duckstation
ays7/chicken
OpenEmu/PPSSPP-Core
fontforge/YosemiForge
dolphin-emu/dolphin
mupen64plus/mupen64plus-rsp-cxd4
TASEmulators/desmume
mupen64plus/mupen64plus-core
voikya/MCMap-Live
higan-emu/libco
libretro/RetroArch
opentyrian/opentyrian
Enigma-Game/Enigma
AZO234/NP2kai
OpenEmu/PCSX2-Core
8birds/VTEncoderInfo
AsahiLinux/m1n1
PCemOnMac/PCemV17macOS
sarah-walker-pcem/pcem
zzanehip/The-OldOS-Project
Septercius/rpcemu-dev
erkyrath/glulxe
libsdl-org/SDL
tid-kijyun/Kanna
TobyLobster/Inform
realnc/hugor
DangarStu/JACL
RPCS3/rpcs3
jwwalker/Quesa
mistysoftware/openplay
nicklockwood/iCarousel
stuartcarnie/vice-emu
mihaip/infinite-mac
leighsmith/MusicKit
HunterZ/systemshock
thestk/rtmidi
finalburnneo/FBNeo
OoliteProject/spidermonkey-ff4
RetroAchievements/rcheevos
godotengine/godot
sabre230/DinoLauncher
HexFiend/HexFiend
thehtb/AppleCoreAudioUtilityClasses
